Nimi;Aeg;Klikke;Laua suurus;Mängu aeg
Tuuli Rand;56;69;10;2025-06-05 12:17:30
Juhan Juurikas;22;26;10;2025-06-05 12:19:29
Raju reede;33;26;13;2025-06-05 12:20:56
Teadmata;21;25;10;2025-06-05 12:23:51
Peeter Pihlakas;23;25;10;2025-06-05 12:28:44
Teadmata;23;27;10;2025-06-05 12:29:22
Kaarel Kadakas;24;26;14;2025-06-05 12:31:19
Tarmo Taibukas;65;26;10;2025-06-05 13:51:55
Sql test;24;26;10;2025-06-05 14:14:22
sql test2;30;25;10;2025-06-05 14:19:06
Jar fail sql 3;23;26;10;2025-06-05 14:31:14
SQL test 4;24;26;10;2025-06-05 14:33:27
sql database asnmed;22;26;10;2025-06-05 14:36:08
Test SQL jälle;22;26;10;2025-06-05 14:38:27
mari Masikas;22;25;14;2025-06-05 14:52:55
Kalle Karu;24;26;13;2025-06-05 14:53:37
Paula Pihlakas;27;26;12;2025-06-05 14:54:30
Lauri Liblikas;23;26;11;2025-06-05 14:55:27
Kõik ok;26;26;10;2025-06-05 15:12:06
Tarvo Krall;21;27;13;2025-06-05 17:19:35
tUULI;5;4;10;2025-06-11 13:53:54
Teadmata;3;4;10;2025-06-11 14:06:38
Teadmata;6;4;10;2025-06-11 14:47:49
Peeter Pihlakas;23;25;10;2025-06-05 12:28:44
Teadmata;23;27;10;2025-06-05 12:29:22
Kaarel Kadakas;24;26;14;2025-06-05 12:31:19
Tarmo Taibukas;65;26;10;2025-06-05 13:51:55
Sql test;24;26;10;2025-06-05 14:14:22
sql test2;30;25;10;2025-06-05 14:19:06
Jar fail sql 3;23;26;10;2025-06-05 14:31:14
SQL test 4;24;26;10;2025-06-05 14:33:27
sql database asnmed;22;26;10;2025-06-05 14:36:08
Test SQL jälle;22;26;10;2025-06-05 14:38:27
mari Masikas;22;25;14;2025-06-05 14:52:55
Kalle Karu;24;26;13;2025-06-05 14:53:37
Paula Pihlakas;27;26;12;2025-06-05 14:54:30
Lauri Liblikas;23;26;11;2025-06-05 14:55:27
Kõik ok;26;26;10;2025-06-05 15:12:06
Tarvo Krall;21;27;13;2025-06-05 17:19:35
tUULI;5;4;10;2025-06-11 13:53:54
Teadmata;3;4;10;2025-06-11 14:06:38
Teadmata;6;4;10;2025-06-11 14:47:49
Teadmata;23;25;10;2025-06-11 15:07:11
